event_id,dm,RA,Dec,DMhalo,DMISM,DM_Cosm,z
1,222.4058532715 pc / cm3,135.8414130329,61.1172471585,40.0 pc / cm3,75.0 pc / cm3,107.4058532715 pc / cm3,0.00871852335855317
2,2707.607421875 pc / cm3,260.9327227839,36.4519169126,40.0 pc / cm3,75.0 pc / cm3,2592.607421875 pc / cm3,2.703161815966095
3,370.406829834 pc / cm3,292.5517539456,70.4403380349,40.0 pc / cm3,75.0 pc / cm3,255.406829834 pc / cm3,0.18073898490221163
4,331.5869140625 pc / cm3,103.203973393,47.8439660168,40.0 pc / cm3,75.0 pc / cm3,216.5869140625 pc / cm3,0.13672008485129708
5,47.3117904663 pc / cm3,149.6129088661,40.0777891563,40.0 pc / cm3,75.0 pc / cm3,0,
6,814.8141479492 pc / cm3,268.0263636533,60.7346471013,40.0 pc / cm3,75.0 pc / cm3,699.8141479492 pc / cm3,0.6597969850743219
7,452.8991699219 pc / cm3,64.9589781141,44.3874389603,40.0 pc / cm3,75.0 pc / cm3,337.8991699219 pc / cm3,0.2724634927643169
8,562.8889770508 pc / cm3,353.321909311,89.2090305371,40.0 pc / cm3,75.0 pc / cm3,447.8889770508 pc / cm3,0.3920315028171961
9,881.9403076172 pc / cm3,35.3759150927,25.7533853974,40.0 pc / cm3,75.0 pc / cm3,766.9403076172 pc / cm3,0.7304911767509326
10,2638.5422363281 pc / cm3,83.3387442211,31.0895612244,40.0 pc / cm3,75.0 pc / cm3,2523.5422363281 pc / cm3,2.6237826603902104
